marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
AUDI Q2 30 TFSI S line 81kW,03/2023,Madrid,27.500 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Negro Mitos (metalizado) / Metalizado,28.990 €,"CARPLUS PARLA
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:34:08.106510,ref15251283
VOLKSWAGEN T-Roc 1.0 TSI Más 85kW,02/2025,Valencia,1 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Tirando a Beige.,26.868 €,"COMERCIAL ANACA
Profesional","Consumo medio
litros/100 km",No,2025-02-18 11:34:43.797160,ref15361000
AUDI Q3 Sportback 35 TFSI S line S tronic,02/2025,Valencia,1 km,Gasolina,ECO,36 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Plata Rocío. / Metalizado,47.430 €,"COMERCIAL ANACA
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:34:51.118276,ref15371122
CITROEN C3 Aircross Puretech S&S Shine 110,10/2019,La Rioja,57.658 km,Gasolina,C,Sí,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Beige,13.500 €,"AUTOMOVILES EDUARDO.
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 11:34:57.064218,ref14136981
VOLKSWAGEN Taigo 1.0 TSI Más 85kW,02/2025,Valencia,1 km,Gasolina,C,36 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Gris Grisáceo. / Metalizado,22.714 €,"COMERCIAL ANACA
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:35:03.540045,ref15364936
AUDI Q3 Sportback 35 TDI Black line S tronic,01/2025,Valencia,1 km,Diesel,C,36 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Negro Mito. / Metalizado,48.613 €,"COMERCIAL ANACA
Profesional","Consumo medio
4,70
litros/100 km",No,2025-02-18 11:35:11.734086,ref15199874
MERCEDES-BENZ Clase C 220 d Berlina,03/2024,Valencia,20.837 km,Diésel,,24 meses,Automático,Berlina mediana o grande,5 asientos,200 cv,4 Puertas,Gris grafito / Metalizado,45.900 €,"Valdisa Automotor10 Grupo Angal
Profesional",,Si,2025-02-18 11:35:15.996172,ref15403062
MERCEDES-BENZ Clase C 220 d,02/2024,Valencia,18.286 km,Diésel,,24 meses,Automático,Berlina mediana o grande,5 asientos,200 cv,4 Puertas,Gris grafito / Metalizado,48.500 €,"Valdisa Automotor10 Grupo Angal
Profesional",,Si,2025-02-18 11:35:22.412802,ref15325018
BMW Serie 3 M3,04/2001,Barcelona,260.000 km,Gasolina,B,No,Manual,Coupe,5 asientos,343 cv,2 Puertas,Gris / Metalizado,"29.990 €
3%
28.990 €","GARAGE CLASSIC CARS
Profesional","Consumo medio
11,90
litros/100 km",No,2025-02-18 11:35:28.807379,ref15275762
JAGUAR F-Pace 2.0i4D Portfolio Aut. AWD 180,10/2017,Lugo,127.260 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,180 cv,5 Puertas,Blanco,19.900 €,"DITRAMOTOR S.L.
Profesional","Consumo medio
5,30
litros/100 km",No,2025-02-18 11:35:33.964299,ref15391148
YOOUDOOO K3 70kW,02/2025,Sevilla,1 km,Corriente eléctrica,0 EMISIONES,96 meses,Automático,Todo Terreno,5 asientos,95 cv,5 Puertas,Blanco,23.990 €,"AUTO BOSS
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:35:40.256853,ref15441782
MERCEDES-BENZ Clase CLA 180,03/2023,Lugo,12.640 km,Gasolina,C,36 meses,Automático,Berlina mediana o grande,5 asientos,136 cv,4 Puertas,AZUL DENIM / Metalizado,36.900 €,"DITRAM AUTOMOCION MERCEDES-BENZ
Profesional",,Si,2025-02-18 11:35:44.879131,ref14851410
TOYOTA Aygo 1.0 70 X-PLAY CONNECT,02/2021,Madrid,20.000 km,Gasolina,C,No,Manual,Berlina mediana o grande,,- cv,5 Puertas,-,10.500 €,"TOYOTA KURUMA OCASIÓN Y SEMINUEVOS PLUS
Profesional",,Si,2025-02-18 11:35:49.729845,ref7138626
LAND-ROVER Range Rover Evoque 1.5 I3 PHEV Dynamic SE AWD Auto,01/2024,Barcelona,4.900 km,Híbrido Enchufable,0 EMISIONES,60 meses,Automático,Todo Terreno,5 asientos,309 cv,5 Puertas,Seul Pearl,68.900 €,"QUADIS Landmotors
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:35:56.725992,ref12683683
CITROEN Berlingo M1 Berlina Manual de 3 Puertas,03/2018,Vizcaya,164.800 km,Diésel,,12 meses,Manual,Berlina mediana o grande,,100 cv,3 Puertas,Blanco,7.900 €,"MARKINA MOTOR CB
Profesional",,No,2025-02-18 11:36:03.015930,ref15441785
LAND-ROVER Discovery 3.0D I6 R-Dynamic S Aut. 300,03/2024,Barcelona,10.658 km,Diesel,ECO,24 meses,Automático,Todo Terreno,5 asientos,300 cv,5 Puertas,Gris,79.900 €,"QUADIS Landmotors
Profesional","Consumo medio
7,30
litros/100 km",No,2025-02-18 11:36:08.882049,ref15377363
HYUNDAI i10 1.0 MPI Tecno,02/2019,Alicante,45.081 km,Gasolina,C,Sí,Manual,Berlina,5 asientos,66 cv,5 Puertas,Gris,10.900 €,"WALLSCAR MULTIMARCA GRUPO PAREDES AUTOMOCION
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:36:15.543457,ref15441848
SKODA Superb Combi 1.6TDI Active DSG 88kW,05/2020,Sevilla,99.000 km,Diesel,C,12 meses,Automático,Stationwagon,5 asientos,120 cv,5 Puertas,Azul / Metalizado,20.990 €,"AUTORACE
Profesional","Consumo medio
4,20
litros/100 km",No,2025-02-18 11:36:49.179700,ref15318913
VOLKSWAGEN T-Roc 1.0 TSI Edition,12/2019,Madrid,121.749 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,16.990 €,"CLICARS MADRID
Profesional","Consumo medio
5,20
litros/100 km",No,2025-02-18 11:36:56.200023,ref15425085
VOLKSWAGEN Arteon Shooting Brake 2.0TDI Elegance DSG7 110kW,09/2021,Madrid,144.285 km,Diesel,C,12 meses,Automático,Stationwagon,5 asientos,150 cv,5 Puertas,Blanco,"23.490 €
2%
22.990 €","CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:37:04.179718,ref15371472
PEUGEOT 2008 1.2 PureTech S&S Active 100,07/2024,Barcelona,5 km,Gasolina,C,24 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,GRIS ARTENESE,21.900 €,"Eutrasa Mollet
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:37:11.779609,ref15180072
MERCEDES-BENZ Clase A 250 e,12/2020,Madrid,78.500 km,Híbrido,ECO,24 meses,Automático,Berlina mediana o grande,,218 cv,5 Puertas,Azul denim metalizado / Metalizado,27.990 €,"STAR MADRID
Profesional",,Si,2025-02-18 11:37:18.318589,ref15416197
MERCEDES-BENZ Clase GLC 300 de 4MATIC,11/2020,Madrid,69.646 km,Híbrido,ECO,24 meses,Automático,"4x4, SUV o pickup",,306 cv,5 Puertas,Negro / Metalizado,44.990 €,"STAR MADRID
Profesional",,Si,2025-02-18 11:37:25.065942,ref15377137
MERCEDES-BENZ Clase C 200 d,01/2023,Madrid,22.564 km,Diésel,,36 meses,Automático,Berlina mediana o grande,,163 cv,4 Puertas,Azul Espectral (metalizado) / Metalizado,41.990 €,"STAR MADRID
Profesional",,Si,2025-02-18 11:37:31.501465,ref15143447
PEUGEOT 206 1.4 X-Line,01/2003,Murcia,147.635 km,Gasolina,B,6 meses,Manual,Berlina,5 asientos,75 cv,3 Puertas,Blanco,2.490 €,"AUTOMOCION ADAMS
Profesional","Consumo medio
6,50
litros/100 km",No,2025-02-18 11:37:39.078035,ref15441872
MERCEDES-BENZ Clase CLA 250 e Shooting Brake,03/2023,Madrid,29.038 km,Híbrido,ECO,36 meses,Automático,Familiar,,218 cv,5 Puertas,Azul Denim (metalizada) / Metalizado,39.490 €,"STAR MADRID
Profesional",,Si,2025-02-18 11:37:44.581555,ref15143459
MERCEDES-BENZ Clase A 180CDI Aut.,12/2020,Madrid,44.008 km,Diesel,C,24 meses,Automático,Berlina,5 asientos,109 cv,5 Puertas,Plata iridio metalizado / Metalizado,25.790 €,"STAR MADRID
Profesional","Consumo medio
5,20
litros/100 km",Si,2025-02-18 11:37:49.928716,ref15416199
MERCEDES-BENZ Clase C 200 d,12/2020,Madrid,80.136 km,Diésel,,24 meses,Automático,Berlina mediana o grande,,160 cv,4 Puertas,Azul Brillante (metalizado) / Metalizado,"28.990 €
2%
28.490 €","STAR MADRID
Profesional",,Si,2025-02-18 11:37:55.956649,ref15333614
MERCEDES-BENZ Clase C 200 d,11/2018,Madrid,109.079 km,Diésel,,24 meses,Automático,Berlina mediana o grande,,160 cv,4 Puertas,Azul cavansita (metalizado) / Metalizado,27.990 €,"STAR MADRID
Profesional",,Si,2025-02-18 11:38:02.201907,ref14804039
RENAULT Captur TCe Energy Intens 66kW,06/2017,Badajoz,74.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,90 cv,5 Puertas,Beige,11.500 €,"AUTOSERENA OCASION DE BADAJOZ
Profesional","Consumo medio
5,10
litros/100 km",No,2025-02-18 11:38:09.475135,ref15386695
CITROEN C4 Grand Spacetourer 1.5BlueHDI Shine EAT8 130,11/2019,Madrid,48.598 km,Diesel,C,12 meses,Automático,Monovolumen,7 asientos,130 cv,5 Puertas,Rojo / Metalizado,20.490 €,"CLICARS MADRID
Profesional","Consumo medio
4,10
litros/100 km",No,2025-02-18 11:38:15.011982,ref15404340
OMODA 5 1.6 Premium 185,07/2024,Madrid,10.165 km,Gasolina,C,Sí,Automático,Todo Terreno,5 asientos,185 cv,5 Puertas,Negro,25.500 €,"Buyndrive - Coslada
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:38:22.062265,ref15441832
OMODA 5 1.6 Premium 185,07/2024,Madrid,12.512 km,Gasolina,C,Sí,Automático,Todo Terreno,5 asientos,185 cv,5 Puertas,Gris,25.500 €,"Buyndrive - Coslada
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:38:28.450625,ref15441831
VOLKSWAGEN Polo 1.0 TSI Advance 70kW,12/2020,Málaga,96.994 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco Puro,14.500 €,"CAMPOS (MIGUEL CAMPOS MOTOR, S.L.)
Profesional","Consumo medio
4,60
litros/100 km",No,2025-02-18 11:39:03.606113,ref15441868
NISSAN Qashqai Q+2 2.0 Acenta 4x2,09/2010,Madrid,180.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,7 asientos,140 cv,5 Puertas,Gris,9.900 €,"AutoDeal
Profesional","Consumo medio
8,00
litros/100 km",No,2025-02-18 11:39:10.115318,ref15441910
TOYOTA Corolla 125H Active Tech,11/2020,Madrid,60.000 km,Gasolina y corriente eléctrica,ECO,24 meses,Automático,Berlina,5 asientos,122 cv,5 Puertas,Rojo / Metalizado,21.490 €,"TOYOTA KURUMA OCASIÓN Y SEMINUEVOS PLUS
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:39:15.830165,ref15197974
BMW Serie 1 118dA Business,03/2024,León,25.711 km,Diesel,C,24 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Skyscraper Grau metalizado / Metalizado,33.900 €,"BMW BERNESGA MOTOR
Profesional","Consumo medio
4,20
litros/100 km",Si,2025-02-18 11:39:22.395735,ref15062440
RENAULT Mégane 1.5dCi Energy Limited 81kW,06/2018,Madrid,81.696 km,Diesel,C,Sí,Manual,Berlina,5 asientos,110 cv,5 Puertas,Blanco,12.999 €,"FT MOTOR
Profesional","Consumo medio
3,70
litros/100 km",No,2025-02-18 11:39:29.222072,ref15441909
FORD Galaxy 2.0TDCi Trend 140,10/2014,Madrid,172.000 km,Diesel,C,No,Manual,Monovolumen,7 asientos,140 cv,5 Puertas,Blanco,10.999 €,"FT MOTOR
Profesional","Consumo medio
6,00
litros/100 km",No,2025-02-18 11:39:36.941681,ref15441908
MERCEDES-BENZ Clase C 200CDI BE,09/2016,Madrid,158.260 km,Diesel,C,Sí,Manual,Berlina,5 asientos,136 cv,4 Puertas,Blanco,15.999 €,"FT MOTOR
Profesional","Consumo medio
4,90
litros/100 km",No,2025-02-18 11:39:44.072750,ref15392647
MERCEDES-BENZ Clase CLA 200d AMG Line,08/2016,Granada,99.990 km,Diesel,C,12 meses,Manual,Coupe,5 asientos,136 cv,4 Puertas,Negro,"21.499 €
2%
20.990 €","GARAJE MOTOR
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:39:51.126028,ref14753841
SEAT Ibiza 1.0 TSI S&S Style 95,07/2019,Segovia,97.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco,14.500 €,"KM 100 SEGOVIA
Profesional","Consumo medio
4,50
litros/100 km",No,2025-02-18 11:39:57.693556,ref15189754
AUDI A6 55 TFSIe quattro-ultra Competition,10/2022,Zamora,39.000 km,Híbrido,ECO,Sí,Automático,Familiar,,367 cv,5 Puertas,Gris oscuro,47.900 €,"AUTOMOVILES AUZASA
Profesional",,No,2025-02-18 11:40:03.092779,ref15441900
AUDI Q5 35 TDI S line quattro-ultra S tronic 120kW,01/2020,Zamora,34.000 km,Diesel,C,Sí,Automático,Todo Terreno,5 asientos,163 cv,5 Puertas,Negro,37.800 €,"AUTOMOVILES AUZASA
Profesional","Consumo medio
5,40
litros/100 km",No,2025-02-18 11:40:09.427935,ref15441899
VOLKSWAGEN Tiguan 1.5 TSI 150cv TSI ACT Sport BlueMotion,09/2019,Zaragoza,61.950 km,Gasolina,C,No,Automático,"4x4, SUV o pickup",,150 cv,5 Puertas,Marrón,29.900 €,"Auto-Cadrete AUTO BARAT
Profesional",,No,2025-02-18 11:40:15.168164,ref15437971
CUPRA Formentor 1.4 e-Hybrid 204cv DSG,09/2021,Zaragoza,27.390 km,Híbrido,ECO,No,Automático,"4x4, SUV o pickup",,204 cv,5 Puertas,Blanco,29.900 €,"Auto-Cadrete AUTO BARAT
Profesional",,No,2025-02-18 11:40:20.662827,ref15437970
TOYOTA Corolla 125H Active Tech,04/2021,Zaragoza,47.652 km,Gasolina y corriente eléctrica,ECO,Sí,Automático,Berlina,5 asientos,122 cv,5 Puertas,Blanco,21.400 €,"Auto-Cadrete AUTO BARAT
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:40:25.539335,ref15406603
CITROEN C3 1.2 PureTech S&S Feel Pack 110,03/2022,Madrid,39.000 km,Gasolina,C,No,Manual,Berlina,5 asientos,110 cv,5 Puertas,Gris,12.990 €,"MuelasMotor
Profesional","Consumo medio
4,60
litros/100 km",No,2025-02-18 11:40:32.347107,ref15441895
FORD Tourneo Connect 1.5TDCi Auto-S&S Active 100,12/2020,Madrid,145.000 km,Diesel,C,No,Manual,Monovolumen,5 asientos,100 cv,5 Puertas,Blanco,10.990 €,"MuelasMotor
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:40:37.759976,ref15441894
TESLA Model X 100D,06/2017,Barcelona,130.000 km,Corriente eléctrica,0 EMISIONES,12 meses,Automático,Todo Terreno,5 asientos,423 cv,5 Puertas,Gris,37.500 €,"TN AUTOSPORT
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:41:13.784176,ref14891504
SUZUKI Swace 1.8L GLE,09/2024,Badajoz,634 km,Gasolina y corriente eléctrica,ECO,Sí,Automático,Stationwagon,5 asientos,122 cv,5 Puertas,Gris oscuro,27.900 €,"MAVEN E HIJOS, concesionario oficial Ford
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:41:21.466688,ref15441898
RENAULT Clio 1.5dCi Energy Business 55kW,07/2019,Segovia,128.000 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,75 cv,5 Puertas,Blanco,9.900 €,"KM 100 SEGOVIA
Profesional","Consumo medio
3,60
litros/100 km",No,2025-02-18 11:41:28.052153,ref15054105
HYUNDAI i10 1.0 MPI Klass,11/2020,Badajoz,13.164 km,Gasolina,C,Sí,Manual,Berlina,5 asientos,66 cv,5 Puertas,Azul,12.900 €,"MAVEN E HIJOS, concesionario oficial Ford
Profesional","Consumo medio
4,40
litros/100 km",No,2025-02-18 11:41:34.988791,ref15441897
VOLVO S60 2.4 D5 Momentum 163 Aut.,06/2007,Badajoz,319.555 km,Diesel,B,Sí,Automático,Berlina,5 asientos,163 cv,4 Puertas,Rojo,6.499 €,"MAVEN E HIJOS, concesionario oficial Ford
Profesional","Consumo medio
7,50
litros/100 km",No,2025-02-18 11:41:42.609893,ref15441896
BMW X6 xDrive 40dA,04/2020,Alicante,110.000 km,Diesel,ECO,12 meses,Automático,Coupe,5 asientos,340 cv,5 Puertas,Negro / Metalizado,61.900 €,"AUTO SALON VILLANUEVA
Profesional","Consumo medio
6,20
litros/100 km",No,2025-02-18 11:41:49.435327,ref15441863
SEAT Arona 1.6TDI CR S&S Style 95,05/2021,Segovia,118.000 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,95 cv,5 Puertas,Gris,14.800 €,"KM 100 SEGOVIA
Profesional","Consumo medio
4,00
litros/100 km",No,2025-02-18 11:41:56.013560,ref15066252
VOLVO XC40 B4 Plus Aut.,12/2024,Barcelona,11 km,Gasolina,ECO,36 meses,Automático,Todo Terreno,5 asientos,197 cv,5 Puertas,Gris Plata,45.900 €,"GRUPO LESSEPS MOTORS
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:42:03.335092,ref15259359
SEAT León ST 1.0 eTSI S&S FR XS DSG-7 110,02/2024,Barcelona,5.000 km,Gasolina,ECO,36 meses,Automático,Stationwagon,5 asientos,110 cv,5 Puertas,Gris,27.500 €,"GRUPO LESSEPS MOTORS
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:42:08.842704,ref14258731
SEAT León 1.4 TSI e-Hybrid S&S FR XM DSG-6 204,07/2024,Barcelona,25 km,Híbrido Enchufable,0 EMISIONES,36 meses,Automático,Berlina,5 asientos,205 cv,5 Puertas,Gris,28.900 €,"GRUPO LESSEPS MOTORS
Profesional","Consumo medio
1,40
litros/100 km",Si,2025-02-18 11:42:13.909821,ref14258730
CUPRA Formentor 1.5 TSI 150 DSG,01/2024,Barcelona,3.000 km,Gasolina,C,36 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,33.500 €,"GRUPO LESSEPS MOTORS
Profesional","Consumo medio
5,50
litros/100 km",Si,2025-02-18 11:42:21.558752,ref14258727
SEAT Arona 1.0 TSI Ecomotive S&S Style 115,06/2020,Segovia,117.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,14.500 €,"KM 100 SEGOVIA
Profesional","Consumo medio
4,90
litros/100 km",No,2025-02-18 11:42:26.740983,ref15109816
VOLKSWAGEN Polo 1.0 TSI Advance 70kW,12/2020,Málaga,96.994 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco Puro,14.500 €,"CAMPOS (MIGUEL CAMPOS MOTOR, S.L.)
Profesional","Consumo medio
4,60
litros/100 km",No,2025-02-18 11:42:31.927864,ref15441868
NISSAN Qashqai Q+2 2.0 Acenta 4x2,09/2010,Madrid,180.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,7 asientos,140 cv,5 Puertas,Gris,9.900 €,"AutoDeal
Profesional","Consumo medio
8,00
litros/100 km",No,2025-02-18 11:42:38.266033,ref15441910
TOYOTA Corolla 125H Active Tech,11/2020,Madrid,60.000 km,Gasolina y corriente eléctrica,ECO,24 meses,Automático,Berlina,5 asientos,122 cv,5 Puertas,Rojo / Metalizado,21.490 €,"TOYOTA KURUMA OCASIÓN Y SEMINUEVOS PLUS
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:42:46.173926,ref15197974
BMW Serie 1 118dA Business,03/2024,León,25.711 km,Diesel,C,24 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Skyscraper Grau metalizado / Metalizado,33.900 €,"BMW BERNESGA MOTOR
Profesional","Consumo medio
4,20
litros/100 km",Si,2025-02-18 11:42:52.330075,ref15062440
SKODA Kamiq 1.5 TSI Style,12/2023,Alicante,8.200 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Azul,24.999 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,10
litros/100 km",Si,2025-02-18 11:43:18.874280,ref15127836
MERCEDES-BENZ Clase A 200CDI BE AMG Line 7G-DCT,08/2014,Valencia,166.159 km,Diesel,C,12 meses,Automático,Berlina,5 asientos,136 cv,5 Puertas,Negro,14.990 €,"Zylautos Motor
Profesional","Consumo medio
4,10
litros/100 km",No,2025-02-18 11:43:24.966440,ref15282548
VOLKSWAGEN T-Roc 1.0 TSI Advance,01/2019,Segovia,86.000 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Rojo,18.900 €,"KM 100 SEGOVIA
Profesional","Consumo medio
5,20
litros/100 km",No,2025-02-18 11:43:31.625441,ref14596824
SEAT León 1.5 eTSI DSG-7 S&S Style Special Edition 150,01/2024,Alicante,9.364 km,Gasolina,ECO,36 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Blanco,23.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:43:37.922443,ref15127835
AUDI A6 3.0TDI S line edition quattro S-T 200kW,01/2018,Valencia,159.771 km,Diesel,C,12 meses,Automático,Berlina,5 asientos,272 cv,4 Puertas,Gris,25.490 €,"Zylautos Motor
Profesional","Consumo medio
5,10
litros/100 km",No,2025-02-18 11:43:42.932472,ref15282329
SEAT León 1.5 eTSI DSG-7 S&S Style Special Edition 150,01/2024,Alicante,8.293 km,Gasolina,ECO,36 meses,Automático,Berlina,5 asientos,150 cv,5 Puertas,Gris Plata / Metalizado,23.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:43:49.441652,ref15127833
SKODA Kamiq 1.0 TSI Montecarlo DSG 85kW,11/2023,Alicante,7.500 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,115 cv,5 Puertas,Blanco,25.499 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:43:54.789255,ref15127831
VOLVO XC90 D5 Inscription C AWD 235 Aut.,06/2017,Valencia,149.877 km,Diesel,C,12 meses,Automático,Todo Terreno,7 asientos,235 cv,5 Puertas,Beige,35.990 €,"Zylautos Motor
Profesional","Consumo medio
6,60
litros/100 km",No,2025-02-18 11:44:02.061233,ref15282144
VOLKSWAGEN Polo 1.0 TSI R-Line DSG 81kW,02/2024,Alicante,5.000 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,110 cv,5 Puertas,Blanco,25.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:44:09.583484,ref15127830
VOLVO V60 D4 Summum Aut. 181,09/2016,Valencia,191.337 km,Diesel,C,12 meses,Automático,Stationwagon,5 asientos,181 cv,5 Puertas,Gris,13.990 €,"Zylautos Motor
Profesional","Consumo medio
4,30
litros/100 km",No,2025-02-18 11:44:15.730464,ref15260819
VOLKSWAGEN T-Roc 2.0TDI Life 85kW,03/2024,Alicante,6.224 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Gris,31.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:44:22.334005,ref15127829
VOLKSWAGEN Passat Variant 2.0TDI BMT Advance DSG 110kW,01/2016,Valencia,178.993 km,Diesel,C,12 meses,Automático,Stationwagon,5 asientos,150 cv,5 Puertas,Gris,14.990 €,"Zylautos Motor
Profesional","Consumo medio
4,50
litros/100 km",No,2025-02-18 11:44:27.771341,ref15260816
VOLKSWAGEN Golf Variant 2.0TDI 85kW Life DSG,04/2021,Alicante,56.141 km,Diesel,C,12 meses,Automático,Stationwagon,5 asientos,115 cv,5 Puertas,Blanco,24.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:44:35.634320,ref15127827
VOLKSWAGEN Polo 1.0 TSI Advance 70kW,05/2021,Alicante,35.890 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco,17.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
4,60
litros/100 km",Si,2025-02-18 11:44:41.755661,ref15127822
VOLKSWAGEN Golf 1.0 TSI Advance 85kW,01/2019,Segovia,96.000 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,115 cv,5 Puertas,Blanco,14.500 €,"KM 100 SEGOVIA
Profesional","Consumo medio
4,80
litros/100 km",No,2025-02-18 11:44:47.654334,ref14603741
CUPRA Formentor 1.5 e-Hybrid 200 VZ Extreme DSG,08/2024,Alicante,2.800 km,Híbrido Enchufable,0 EMISIONES,24 meses,Automático,Todo Terreno,5 asientos,272 cv,5 Puertas,Gris,"48.500 €
1%
47.900 €","VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:44:53.437668,ref15127817
CUPRA Terramar 1.5 eTSI 110 DSG,10/2024,Alicante,1.650 km,Gasolina,ECO,24 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Azul,39.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:45:22.297111,ref15284031
SEAT Tarraco 1.5 TSI S&S Style 150,04/2024,Alicante,5.950 km,Gasolina,C,48 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris / Metalizado,32.500 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,80
litros/100 km",Si,2025-02-18 11:45:29.527751,ref15259865
SKODA Kodiaq 2.0TDI AB tech Ambition 4x4 DSG 110kW,12/2017,Alicante,72.999 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Azul,25.999 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
5,70
litros/100 km",Si,2025-02-18 11:45:37.211838,ref15254560
SEAT Ateca 1.5 EcoTSI S&S Style XM,03/2024,Alicante,15.025 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris,25.990 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:45:44.543525,ref15248423
CUPRA Formentor 1.5 eTSI 150 DSG,07/2024,Alicante,12.810 km,Gasolina,ECO,24 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Azul,33.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional","Consumo medio
litros/100 km",Si,2025-02-18 11:45:50.628333,ref15237598
CUPRA Tavascan 77kWh 210kW Endurance,11/2024,Alicante,2.190 km,Corriente eléctrica,0 EMISIONES,30 meses,Automático,Todo Terreno,5 asientos,285 cv,5 Puertas,Azul,38.900 €,"VOLKSWAGEN SERRAMOVIL
Profesional",,Si,2025-02-18 11:45:56.626954,ref15237596
